click 0 0 | score 2
click 0 1 | score 4
click 1 0 | score 6
click 1 1 | score 8
click 2 0 | score 10
click 2 1 | score 12
click 3 0 | score 14
flag 3 1 | score 29
click 3 2 | score 31
click 2 2 | score 33
click 1 2 | score 35
flag 4 0 | score 50
flag 4 1 | score 65
click 4 2 | score 67
click 4 3 | score 69
click 3 3 | score 71
click 2 3 | score 73
click 1 3 | score 75
flag 2 4 | score 90
click 1 4 | score 92
click 0 4 | score 94
click 0 3 | score 96
click 0 2 | score 98
flag 3 4 | score 113
click 4 4 | score 115
