click 3 3 | score 2
click 1 5 | score 4
click 5 5 | score 6
click 3 0 | score 8
hint reveal 7 6 | score 5
click 6 5 | score 7
click 6 4 | score 9
click 6 6 | score 11
click 6 7 | score 13
click 7 7 | score 15
click 7 5 | score 17
click 7 4 | score 19
click 7 3 | score 21
click 6 3 | score 23
click 7 2 | score 25
click 6 2 | score 27
click 6 1 | score 29
click 7 1 | score 31
click 7 0 | score 33
click 6 0 | score 35
click 5 0 | score 37
click 5 1 | score 39
click 5 2 | score 41
click 5 3 | score 43
click 2 5 | score 45
click 1 2 | score 47
click 1 3 | score 49
click 0 1 | score 51
