click 0 0 | score 2
click 0 1 | score 4
click 1 0 | score -6
click 1 1 | score -4
click 4 4 | score -2
click 4 3 | score 0
click 3 4 | score 2
click 3 3 | score 4
click 2 4 | score -6
click 2 3 | score -4
click 2 2 | score -2
click 3 2 | score 0
click 4 2 | score 2
click 4 0 | score 4
click 4 1 | score 6
click 3 1 | score 8
click 3 0 | score 10
click 0 4 | score 0
click 1 4 | score 2
click 2 0 | score 4
click 2 1 | score 6
flag 1 2 | score 21
flag 1 3 | score 36
click 0 3 | score 38
flag 0 2 | score 28
