click 0 0 | score 2
click 0 1 | score 4
click 1 0 | score 6
click 1 1 | score 8
click 0 4 | score 10
click 4 4 | score 12
click 4 1 | score 2
click 4 2 | score 4
click 4 3 | score 6
click 3 4 | score 8
click 3 3 | score 10
flag 3 2 | score 25
click 3 1 | score 27
click 2 4 | score 29
click 2 3 | score 31
click 2 2 | score 33
click 1 4 | score 35
click 1 3 | score 37
click 1 2 | score 39
click 0 3 | score 41
flag 2 1 | score 56
click 0 2 | score 58
click 2 0 | score 60
flag 3 0 | score 75
flag 4 0 | score 90
