click 0 0 | score -10
click 0 1 | score -8
click 1 1 | score -6
click 1 0 | score -4
click 1 2 | score -2
click 0 2 | score 0
click 2 0 | score 2
click 2 1 | score 4
flag 2 2 | score 19
click 2 3 | score 21
click 1 3 | score 23
click 0 3 | score 25
click 0 4 | score 27
click 1 4 | score 29
click 2 4 | score 31
click 3 4 | score 33
click 4 4 | score 35
flag 3 2 | score 50
click 3 3 | score 52
click 4 3 | score 54
click 4 2 | score 56
click 4 1 | score 58
click 3 1 | score 60
flag 3 0 | score 75
flag 4 0 | score 90
